Aderklaaer strasse,1063,132
Alaudagasse,790,912
Alser strasse,493,317
Alte Donau,966,288
Alterlaa,389,833
Altes Landgut,768,891
Am Schoepfwerk,415,806
Aspern Nord,1363,329
Aspernstrasse,1288,358
Bahnhof Meidling,479,741
Braunschweiggasse,327,616
Burggasse-Stadthalle,479,436
Donauinsel,920,273
Donaumarina,1056,500
Donauspital,1250,395
Donaustadtbruecke,1135,452
Dresdner strasse,683,207
Enkplatz,995,680
Erdberg,955,592
Erlaaer strasse,359,862
Floridsdorf,810,83
Friedensbruecke,642,260
Gasometer,976,613
Grossfeldsiedlung,1086,107
Gumpendorfer strasse,479,559
Handelskai,720,173
Hardeggasse,1203,395
Hausfeldstrasse,1319,329
Heiligenstradt,614,141
Herrengasse,667,500
Hietzing,363,616
Huetteldorf,220,616
Huetteldorfer strasse,383,407
Jaegerstrasse,661,207
Johnstrasse,412,435
Josefstaedter strasse,479,358
Kagran,996,198
Kagraner Platz,1019,176
Kaisermuehlen/VIC,946,249
Kardinal-Nagl-Platz,911,522
Karlsplatz,710,610
Kendlerstrasse,362,385
Keplerplatz,712,810
Kettenbrueckengasse,642,616
Krieau,947,395
Laengenfeldgasse,479,616
Landstrasse,815,500
Leopoldau,1113,82
Margaretenguertel,529,616
Meidling Haupstrasse,435,616
Messe-Prater,916,365
Michelbeuern - AKH,519,290
Museumsquartier,627,568
Nestroyplatz,820,374
Neubaugasse,558,500
Neue Donau,789,104
Neulaa,810,934
Niederhofstrasse,479,696
Nussdorfer strasse,578,231
Ober St. Veit,248,616
Oberlaa,832,956
Ottakring,334,356
Perfektastrasse,327,895
Pilgramgasse,584,616
Praterstern,850,343
Rathaus,625,432
Rennbahnweg,1040,155
Reumannplatz,722,846
Rochusgasse,893,531
Rossauer Laende,681,298
Schlachthausgasse,932,570
Schoenbrunn,398,616
Schottenring,724,344
Schottentor,665,394
Schwedenplatz,789,405
Schweglerstrasse,438,461
Seestadt,1378,395
Siebenhirten,296,926
Simmering,995,753
Spittelau,614,207
Stadion,986,432
Stadlau,1166,419
Stadtpark,794,587
Stephansplatz,711,498
Stubentor,770,500
Suedtiroler Platz - Hauptbahnhof,712,748
Taborstrasse,789,344
Taubstummengasse,712,680
Thaliastrasse,479,397
Troststrasse,745,868
Tschwerttegasse,440,781
Unter St. Veit,288,616
Volkstheater,600,500
Vorgartenstrasse,883,311
Waehringer strasse - Volksoper,548,262
Westbahnhof,479,499
Zieglergasse,522,500
Zippererstrasse,995,636
